year,context,cluster
1,suçlardan dolayı orada bazı doktorlarımızın yargılandığı fakat bundan dolayı da suç almadıkları konularda şu anda toplum nezdinde cezalandırıldıkları bir konudur eğer,9
1,suçla ve suçluyla mücadele ediyorsa öncelik suçun delili olan hakkında suç itham edilen kişilere canlı bir şekilde ulaşmaktır bu sadece ülkemiz,18
1,bin civarında da denetimli serbestliğe tabi kişi var şimdi tabii suç ve ceza kavramlarını yeniden düşünmeyi gerektirecek rakamlar bunlar cezaevlerinde 300,18
1,bu rakamlar aslında sadece tırnak içinde suçluları değil suçu konuşmayı suç üreten sistemi konuşmayı sistemle yüzleşmeyi yargılama sistemiyle eğitim sistemiyle ekonomik,18
1,fakat bakan kendi hakkıyla alakalı hukuken bir savunmaya geçtiğinde bunu suç addedeceksiniz bunu kınıyorum elbette ki her insan ister bakan ister,21
1,hiç yakışmıyor çok ayıp engi n altay i stanbul bu suç mudur başkan evet i ç tüzük e göre hitapla ilgili,19
1,41 inci maddede 1 inci maddede ifade edilmiş ağır bir suç hâli istisna olarak sayılmış bu vakanın ağır bir suç hâli,17
1,bir suç hâli istisna olarak sayılmış bu vakanın ağır bir suç hâli olduğu başından beri belli mikrofon otomatik cihaz tarafından kapatıldı,9
1,edin sayın bilgen ayhan bi lgen kars şimdi herhangi bir suç isnat edilebilecek bir fiil söz konusu olmadığı hâlde sadece etkinliğe,20
1,hâlde sadece etkinliğe katılanların katıldıkları etkinlikle ilgili de herhangi bir suç unsuru bulunmamasına rağmen etkinlikten dağılırken gbt lerinin alınmasının sonra da,21
1,şey demem ama onun evladına çoluğuna çocuğuna yazık etmiş olursunuz suç işlemiş olursunuz terör tehdidine yönelik hükûmetin hassasiyetini de sizlerin hassasiyetini,36
1,la ilgili şahsi eleştirilere geliyorum ak parti li olmak da suç değil bir başka partinin mensubu üyesi olmak da kötü değil,10
1,da bilmesine rağmen dile getirmiyor ki bu daha büyük bir suç bütün dünya türkiye deki ekonomik krizi konuşuyor tartışıyor ama biz,25
1,çok büyük önem kutsiyet atfeden politikalar yürütürken bir yandan aslında suç mahallinin ev olduğunu unutmamak gerekiyor mikrofon otomatik cihaz tarafından kapatıldı,10
1,süre veriyorum sayın özel buyurun özgür özel manisa devleti bir suç örgütü gibi yönetme maharetinizi de biliyoruz geçmişte sahte delil üretenleri,9
1,bilgi geliyor herhâlde hâlâ fetö cüler size haber geçiyor içeriden suç örgütü gibi yönetmek dediğiniz şey çok çok acayip derecede radikal,0
1,çok acayip derecede radikal bir şey söylüyorsunuz ne demek devleti suç örgütü gibi yönetmek eğer elinizde bu konuyla alakalı bilgi belge,9
1,ve caydırıcı önlemler alınmadığı için insanların canı üzerinden para kazanan suç örgütleri ortalıkta cirit atmaktadır daha önemlisi mültecilere ülke içerisinde insan,28
1,şkence suçu sistematik bir şekilde insanlık onuruyla bağdaşmayan aşağılayıcı bir suç asla tasvip etmediğimiz asla hiçbir insanın maruz kalmaması gerektiğini düşündüğümüz,17
1,tasvip etmediğimiz asla hiçbir insanın maruz kalmaması gerektiğini düşündüğümüz bir suç i şkenceye sıfır tolerans söylemiyle göreve gelen adalet ve kalkınma,18
1,bölgenin on beş barosu ortak açıklama yaptı ama nedir durum suç duyuruları sonuçsuz kaldı herhangi bir yaptırım yok işkenceyi yapmış olanlar,9
1,bu konuda yaptığı çalışmayı hemen arkalarında adliye var orada bir suç duyurusunda bulunabilirler ömer faruk gergerli oğlu kocaeli bulundu özlem hanım,20
1,zengi n tokat herhâlde avukatlar ne yapacaklarını bu konuda biliyorlardır suç duyurusunda bulunacaklar bu yargısal süreç devam edecek bu konuyla alakalı,18
1,kurtulan mersin ankara emniyetinde de işkence var baronun beyanı var suç duyurusu var yapılacak şey şununla bağlayalım şu dediği kabul edilebilir,1
1,ankara da savcı varsa bu emniyet amirleriyle ilgili açık bir suç duyurusunda bulunmak istiyorum başkan sayın ok,1
1,var ve kendilerine ait yaşamları var i ddianamede ciddi bir suç unsuru bulunamadığı için iddianame 2 kez reddediliyor üst mahkeme de,17
1,kerim de birçok ayette cenab ı allah ın bir daha suç işlememek üzere suç işleyenlerin af dilemesi hâlinde bağışlayıcı olduğunu fakat,2
1,ayette cenab ı allah ın bir daha suç işlememek üzere suç işleyenlerin af dilemesi hâlinde bağışlayıcı olduğunu fakat kul hakkıyla gelenlerin,2
1,da geçen gün olduğu gibi adalet bakanı tutuyor diyor ki suç işleyenler karakolun bir kapısından girip diğer kapısından çıkıyor yapanın yanına,5
1,bulmuyor askerî okul öğrencileri mağdur kamuda memur olup işten çıkarılan suç bulunamayan işe dönecek mi dönemeyecek mi bu konuda başvuracağı yer,18
1,harita mühendisi geldi hakkında hiçbir suçlama yok ablasıyla ilgili bir suç varsayımı üzerine işinden olmuş ben işime dönmek istiyorum mağdurum diyor,9
1,edilebiliyor hani nerede kaldı suçun şahsiliği o zaman bir kişi suç işlemişse eşinin ve çocuklarının ne kabahati var böyle bir uygulama,3
1,bank asyayı açanlar suçlu değil mi bank asyaya para yatırmak suç ama bank asyayı açan adam suçlu değil vallahi de billahi,4
1,beraberlik içinde ramazan bayramı na kavuştursun diğer taraftan insanlığa karşı suç işlemeye devam eden i srail ordusunun önceki gün gazze deki,5
1,seçilmenizden dolayı tebrik ediyor görevlerinizde başarılar diliyorum i nsanlığa karşı suç işlemeye devam eden i srail ordusunun önceki gün gazze deki,5
1,sadece ve sadece ysk dir ysk üyeleri seçmene karşı işledikleri suç sebebiyle topluca istifa etmelidir 3 i çişleri ve adalet bakanlarının,8
1,konuşmacı ak parti mhp ysk iş birliğinden bahsediyor i kisi suç örgütü olarak çalıştı diyor şimdi bu nasıl bir hukuk anlayışıdır,20
1,çerçevesinde seçim kurullarına yaptığı itirazları bir iş birliği olarak hatta suç örgütü olmakla itham edecek yani komik ötesi bir durum ayrıca,33
1,edecek yani komik ötesi bir durum ayrıca bu nasıl bir suç örgütüdür ki kars ta ve iğdır da hdp nin kazandığı,9
1,daha açık bir sataşma nasıl olur muhammed levent bülbül sakarya suç örgütü dedikten sonra muhakeme yapmadı demek kadar meral daniş beştaş,9
